symbol,timestamp_utc,spot,gamma_pin,distance_to_pin,gross_gex,net_gex,call_gex,put_gex,is_valid
SPX,2026-01-06 19:11:16.917145+00:00,6944.21,6945.0,-0.7899999999999636,2537.906061282292,1953.0751565440064,2245.490608913149,292.41545236914277,False
NDX,2026-01-06 19:12:21.978984+00:00,25611.10430502883,25620.0,-8.895694971168268,345.5963000161944,245.08580287488283,295.3410514455386,50.25524857065577,True
DJI,2026-01-06 19:12:48.134276+00:00,49491.700000000004,170.0,49321.700000000004,1.9802362203538317e-44,-1.9729020523146325e-44,3.6670840195996025e-47,1.976569136334232e-44,False
RUT,2026-01-06 19:13:52.105078+00:00,2568.652,2530.0,38.652000000000044,93.09030061901296,11.885405984247,52.48785330162998,40.60244731738298,True
SPX,2026-01-06 19:16:25.629890+00:00,6946.58,6950.0,-3.4200000000000728,3871.8857950377696,2718.607521360136,3295.246658198953,576.6391368388167,False
NDX,2026-01-06 19:17:30.787449+00:00,25620.8839842221,25620.0,0.8839842220986611,449.6083396056302,308.19433542125995,378.90133751344507,70.70700209218512,True
DJI,2026-01-06 19:17:55.943359+00:00,49480.020000000004,170.0,49310.020000000004,2.346240272621947e-44,-1.706178205908164e-44,3.200310333568915e-45,2.0262092392650555e-44,False
RUT,2026-01-06 19:18:59.623113+00:00,2569.8585000000003,2530.0,39.85850000000028,92.70240552717473,12.419998352854165,52.56120194001445,40.141203587160284,True
SPX,2026-01-06 19:21:02.908753+00:00,6946.24,6950.0,-3.7600000000002183,3624.6721000235034,2574.6724992459735,3099.6722996347385,524.999800388765,False
NDX,2026-01-06 19:22:08.170499+00:00,25623.81240967717,25620.0,3.8124096771716722,469.5842141180047,307.28094013078845,388.4325771243966,81.15163699360811,True
DJI,2026-01-06 19:22:32.531269+00:00,49472.94,170.0,49302.94,2.0699925691100113e-44,-2.0676125952281088e-44,1.1899869409513825e-47,2.06880258216906e-44,False
RUT,2026-01-06 19:23:36.248999+00:00,2570.6454000000003,2530.0,40.645400000000336,92.44875285504926,12.765644629921681,52.60719874248547,39.84155411256379,True
SPX,2026-01-06 19:26:09.564343+00:00,6946.22,6950.0,-3.7799999999997453,3610.564628181579,2566.4748776337483,3088.5197529076636,522.0448752739153,False
NDX,2026-01-06 19:27:14.655237+00:00,25622.3272062981,25620.0,2.3272062981013732,460.8302914157513,309.39082445690497,385.1105579363281,75.71973347942317,True
DJI,2026-01-06 19:27:40.799498+00:00,49461.87,170.0,49291.87,2.0787744947354615e-44,-2.0752682693138044e-44,1.7531127108285635e-47,2.077021382024633e-44,False
RUT,2026-01-06 19:28:44.470459+00:00,2570.8462,2530.0,40.84619999999995,92.38394465458336,12.8534620622086,52.61870335839598,39.765241296187384,True
SPX,2026-01-06 19:31:17.696552+00:00,6945.34,6945.0,0.3400000000001455,3051.5487121923047,2243.526604846073,2647.537658519189,404.01105367311584,False
NDX,2026-01-06 19:32:22.685534+00:00,25624.11112263994,25630.0,-5.8888773600592685,470.96510611270327,306.4335404976733,388.6993233051883,82.26578280751498,True
DJI,2026-01-06 19:32:50.536219+00:00,49444.090000000004,170.0,49274.090000000004,2.0892431538466636e-44,-2.0892397625751978e-44,1.6956357328068095e-50,2.0892414582109307e-44,False
RUT,2026-01-06 19:33:54.356845+00:00,2572.9965,2530.0,42.9965000000002,91.68793359523178,13.784018215877374,52.735975905554575,38.9519576896772,True
SPX,2026-01-06 19:36:27.762403+00:00,6946.46,6950.0,-3.5399999999999636,3783.159087328924,2666.889603652651,3225.0243454907877,558.1347418381363,False
